Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,TB,Crs,CK,Succ,Att_stats_possession,PrgR,SCA90,GCA90,Tkl,TklW,Int,Blocks_stats_defense,Clr,Err,Ast_p90,xAG_p90,KP_p90,PrgP_p90,TB_p90,Crs_p90,CK_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,Tkl_p90,TklW_p90,Int_p90,Blocks_stats_defense_p90,Clr_p90,Err_p90
Kevin Vogt,de GER,DF,Union Berlin,de Bundesliga,32.0,18,16,1367,15.2,0,0.0,2,70,0,0,0,4,5,2,1.12,0.0,12,8,9,16,75,1,0.0,0.0,0.132,4.605,0.0,0.0,0.0,0.263,0.329,0.132,0.789,0.526,0.592,1.053,4.934,0.066
Mërgim Vojvoda,xk KVX,DF,Torino,it Serie A,29.0,17,12,1105,12.3,0,0.4,11,64,2,40,6,6,11,34,2.2,0.08,18,10,7,13,24,1,0.0,0.033,0.894,5.203,0.163,3.252,0.488,0.488,0.894,2.764,1.463,0.813,0.569,1.057,1.951,0.081
Mërgim Vojvoda,xk KVX,DF,Como,it Serie A,29.0,11,8,717,8.0,2,2.0,12,43,0,26,9,3,11,40,2.51,0.25,9,6,3,7,18,0,0.25,0.25,1.5,5.375,0.0,3.25,1.125,0.375,1.375,5.0,1.125,0.75,0.375,0.875,2.25,0.0
Stefan de Vrij,nl NED,DF,Inter,it Serie A,32.0,25,17,1636,18.2,0,0.0,1,76,2,0,0,3,8,5,0.73,0.16,18,11,22,19,89,0,0.0,0.0,0.055,4.176,0.11,0.0,0.0,0.165,0.44,0.275,0.989,0.604,1.209,1.044,4.89,0.0
Hauke Wahl,de GER,DF,St. Pauli,de Bundesliga,30.0,33,33,2970,33.0,0,0.5,9,142,0,8,0,8,10,10,0.79,0.0,36,27,31,44,170,4,0.0,0.015,0.273,4.303,0.0,0.242,0.0,0.242,0.303,0.303,1.091,0.818,0.939,1.333,5.152,0.121
Kyle Walker,eng ENG,DF,Manchester City,eng Premier League,34.0,15,9,970,10.8,0,0.4,7,64,2,14,0,3,6,11,1.58,0.0,17,10,3,13,13,1,0.0,0.037,0.648,5.926,0.185,1.296,0.0,0.278,0.556,1.019,1.574,0.926,0.278,1.204,1.204,0.093
Kyle Walker,eng ENG,DF,Milan,it Serie A,34.0,11,7,659,7.3,0,0.9,6,32,0,11,0,5,7,19,1.37,0.0,17,9,9,9,15,1,0.0,0.123,0.822,4.384,0.0,1.507,0.0,0.685,0.959,2.603,2.329,1.233,1.233,1.233,2.055,0.137
Kyle Walker-Peters,eng ENG,DF,Southampton,eng Premier League,27.0,33,33,2918,32.4,2,2.8,24,139,5,51,3,38,92,144,1.94,0.22,44,29,19,27,90,1,0.062,0.086,0.741,4.29,0.154,1.574,0.093,1.173,2.84,4.444,1.358,0.895,0.586,0.833,2.778,0.031
Sebastian Walukiewicz,pl POL,DF,Torino,it Serie A,24.0,29,20,1661,18.5,0,0.3,4,80,0,24,0,6,22,31,0.87,0.05,38,20,18,21,60,0,0.0,0.016,0.216,4.324,0.0,1.297,0.0,0.324,1.189,1.676,2.054,1.081,0.973,1.135,3.243,0.0
Aaron Wan-Bissaka,eng ENG,DF,West Ham,eng Premier League,26.0,36,35,3154,35.0,5,3.5,33,149,5,76,0,64,122,167,2.65,0.29,70,49,66,37,125,0,0.143,0.1,0.943,4.257,0.143,2.171,0.0,1.829,3.486,4.771,2.0,1.4,1.886,1.057,3.571,0.0
Timothy Weah,us USA,"DF,FW",Juventus,it Serie A,24.0,30,18,1638,18.2,2,1.6,19,56,2,44,2,13,34,120,1.98,0.16,36,19,14,25,27,2,0.11,0.088,1.044,3.077,0.11,2.418,0.11,0.714,1.868,6.593,1.978,1.044,0.769,1.374,1.484,0.11
Adam Webster,eng ENG,DF,Brighton,eng Premier League,29.0,14,11,887,9.9,0,0.5,3,63,0,2,0,1,3,2,1.42,0.41,10,6,20,16,41,2,0.0,0.051,0.303,6.364,0.0,0.202,0.0,0.101,0.303,0.202,1.01,0.606,2.02,1.616,4.141,0.202
Mitchell Weiser,de GER,"DF,MF",Werder Bremen,de Bundesliga,30.0,32,32,2868,31.9,9,4.7,42,125,10,78,0,35,84,200,2.73,0.41,61,40,22,33,61,3,0.282,0.147,1.317,3.918,0.313,2.445,0.0,1.097,2.633,6.27,1.912,1.254,0.69,1.034,1.912,0.094
Welington,br BRA,DF,Southampton,eng Premier League,23.0,10,6,482,5.4,0,0.1,3,11,0,17,6,5,9,19,1.31,0.19,21,9,7,5,36,0,0.0,0.019,0.556,2.037,0.0,3.148,1.111,0.926,1.667,3.519,3.889,1.667,1.296,0.926,6.667,0.0
Ben White,eng ENG,DF,Arsenal,eng Premier League,26.0,17,13,1198,13.3,2,1.4,10,59,1,17,0,0,6,42,1.73,0.15,20,14,16,10,44,0,0.15,0.105,0.752,4.436,0.075,1.278,0.0,0.0,0.451,3.158,1.504,1.053,1.203,0.752,3.308,0.0
Silvan Widmer,ch SUI,DF,Mainz 05,de Bundesliga,31.0,27,3,504,5.6,1,0.4,2,23,0,12,0,0,4,36,1.78,0.36,11,5,5,7,27,0,0.179,0.071,0.357,4.107,0.0,2.143,0.0,0.0,0.714,6.429,1.964,0.893,0.893,1.25,4.821,0.0
Mats Wieffer,nl NED,"DF,MF",Brighton,eng Premier League,24.0,25,10,1015,11.3,3,1.6,16,62,0,13,0,7,15,23,2.83,0.53,58,34,17,18,28,3,0.265,0.142,1.416,5.487,0.0,1.15,0.0,0.619,1.327,2.035,5.133,3.009,1.504,1.593,2.478,0.265
Neco Williams,wls WAL,DF,Nott'ham Forest,eng Premier League,23.0,35,28,2594,28.8,3,1.6,18,89,1,59,2,18,46,103,1.77,0.21,90,57,31,42,137,3,0.104,0.056,0.625,3.09,0.035,2.049,0.069,0.625,1.597,3.576,3.125,1.979,1.076,1.458,4.757,0.104
Axel Witsel,be BEL,DF,Atlético Madrid,es La Liga,35.0,14,9,852,9.5,1,0.5,2,21,0,0,0,1,2,1,0.42,0.21,16,12,11,15,34,1,0.105,0.053,0.211,2.211,0.0,0.0,0.0,0.105,0.211,0.105,1.684,1.263,1.158,1.579,3.579,0.105
Maximilian Wittek,de GER,DF,Bochum,de Bundesliga,28.0,33,32,2706,30.1,0,4.4,46,141,8,164,72,12,30,83,3.33,0.2,65,42,27,54,89,3,0.0,0.146,1.528,4.684,0.266,5.449,2.392,0.399,0.997,2.757,2.159,1.395,0.897,1.794,2.957,0.1
Marius Wolf,de GER,DF,Augsburg,de Bundesliga,29.0,32,28,2144,23.8,3,3.2,45,117,3,115,38,19,43,95,3.36,0.25,27,16,24,29,51,1,0.126,0.134,1.891,4.916,0.126,4.832,1.597,0.798,1.807,3.992,1.134,0.672,1.008,1.218,2.143,0.042
Nathan Wood-Gordon,eng ENG,DF,Southampton,eng Premier League,22.0,11,9,773,8.6,0,0.0,1,17,0,3,0,4,6,0,0.35,0.0,14,8,5,9,39,2,0.0,0.0,0.116,1.977,0.0,0.349,0.0,0.465,0.698,0.0,1.628,0.93,0.581,1.047,4.535,0.233
Christopher Wooh,cm CMR,DF,Rennes,fr Ligue 1,22.0,20,17,1456,16.2,0,0.1,2,59,0,0,0,7,12,2,0.99,0.06,36,19,23,22,63,0,0.0,0.006,0.123,3.642,0.0,0.0,0.0,0.432,0.741,0.123,2.222,1.173,1.42,1.358,3.889,0.0
Luke Woolfenden,eng ENG,DF,Ipswich Town,eng Premier League,25.0,15,12,1187,13.2,0,0.0,0,15,0,0,0,0,0,0,0.15,0.0,9,6,19,21,76,0,0.0,0.0,0.0,1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.682,0.455,1.439,1.591,5.758,0.0
Leny Yoro,fr FRA,DF,Manchester Utd,eng Premier League,18.0,21,12,1165,12.9,0,0.1,2,52,2,1,0,2,4,4,0.7,0.0,29,11,18,5,43,0,0.0,0.008,0.155,4.031,0.155,0.078,0.0,0.155,0.31,0.31,2.248,0.853,1.395,0.388,3.333,0.0
Ashley Young,eng ENG,DF,Everton,eng Premier League,39.0,32,19,1875,20.8,3,2.3,26,90,3,75,15,7,20,32,2.25,0.29,58,33,25,14,64,2,0.144,0.111,1.25,4.327,0.144,3.606,0.721,0.337,0.962,1.538,2.788,1.587,1.202,0.673,3.077,0.096
Etienne Youte Kinkoue,fr FRA,DF,Le Havre,fr Ligue 1,22.0,28,26,2320,25.8,0,0.2,3,63,0,2,0,2,2,4,0.54,0.04,19,10,29,36,158,3,0.0,0.008,0.116,2.442,0.0,0.078,0.0,0.078,0.078,0.155,0.736,0.388,1.124,1.395,6.124,0.116
Illia Zabarnyi,ua UKR,DF,Bournemouth,eng Premier League,21.0,36,35,3109,34.5,1,0.7,12,140,6,6,0,6,9,4,0.84,0.03,52,36,41,33,182,2,0.029,0.02,0.348,4.058,0.174,0.174,0.0,0.174,0.261,0.116,1.507,1.043,1.188,0.957,5.275,0.058
Warren Zaïre-Emery,fr FRA,"MF,DF",Paris S-G,fr Ligue 1,18.0,29,23,2050,22.8,2,1.4,18,135,2,9,0,20,37,92,2.28,0.18,51,26,23,35,20,2,0.088,0.061,0.789,5.921,0.088,0.395,0.0,0.877,1.623,4.035,2.237,1.14,1.009,1.535,0.877,0.088
Nicola Zalewski,pl POL,"DF,FW",Roma,it Serie A,22.0,12,4,533,5.9,0,0.8,10,17,0,29,0,2,16,54,3.37,0.0,8,6,4,7,8,2,0.0,0.136,1.695,2.881,0.0,4.915,0.0,0.339,2.712,9.153,1.356,1.017,0.678,1.186,1.356,0.339
Francesco Zampano,it ITA,DF,Venezia,it Serie A,30.0,24,17,1639,18.2,2,0.8,12,41,0,49,1,8,28,85,1.37,0.16,31,20,6,21,29,2,0.11,0.044,0.659,2.253,0.0,2.692,0.055,0.44,1.538,4.67,1.703,1.099,0.33,1.154,1.593,0.11
Alessandro Zanoli,it ITA,"FW,DF",Genoa,it Serie A,23.0,31,19,1711,19.0,0,1.6,19,27,2,65,0,20,56,90,1.68,0.05,29,20,12,20,40,0,0.0,0.084,1.0,1.421,0.105,3.421,0.0,1.053,2.947,4.737,1.526,1.053,0.632,1.053,2.105,0.0
Gabriele Zappa,it ITA,DF,Cagliari,it Serie A,24.0,37,35,3060,34.0,0,3.6,28,146,1,72,0,13,29,82,1.68,0.06,40,23,23,42,93,1,0.0,0.106,0.824,4.294,0.029,2.118,0.0,0.382,0.853,2.412,1.176,0.676,0.676,1.235,2.735,0.029
Davide Zappacosta,it ITA,DF,Atalanta,it Serie A,32.0,30,26,2067,23.0,2,2.1,23,107,2,95,13,12,41,139,2.31,0.26,26,16,11,28,32,2,0.087,0.091,1.0,4.652,0.087,4.13,0.565,0.522,1.783,6.043,1.13,0.696,0.478,1.217,1.391,0.087
David Zec,si SVN,DF,Holstein Kiel,de Bundesliga,24.0,18,18,1541,17.1,0,0.5,8,34,0,1,0,5,9,2,0.76,0.0,23,10,17,32,93,3,0.0,0.029,0.468,1.988,0.0,0.058,0.0,0.292,0.526,0.117,1.345,0.585,0.994,1.871,5.439,0.175
Jordan Zemura,zw ZIM,DF,Udinese,it Serie A,24.0,23,13,1415,15.7,2,1.0,11,42,0,39,5,20,48,76,1.91,0.25,31,14,16,17,41,0,0.127,0.064,0.701,2.675,0.0,2.484,0.318,1.274,3.057,4.841,1.975,0.892,1.019,1.083,2.611,0.0
Alessio Zerbin,it ITA,DF,Venezia,it Serie A,25.0,18,17,1518,16.9,1,2.1,24,54,1,74,18,21,63,70,2.49,0.12,51,28,15,28,25,1,0.059,0.124,1.42,3.195,0.059,4.379,1.065,1.243,3.728,4.142,3.018,1.657,0.888,1.657,1.479,0.059
Cedric Zesiger,ch SUI,DF,Augsburg,de Bundesliga,26.0,15,15,1221,13.6,2,1.3,7,40,2,13,0,1,4,7,0.96,0.22,13,7,21,17,96,1,0.147,0.096,0.515,2.941,0.147,0.956,0.0,0.074,0.294,0.515,0.956,0.515,1.544,1.25,7.059,0.074
Cedric Zesiger,ch SUI,DF,Wolfsburg,de Bundesliga,26.0,7,5,522,5.8,0,0.0,1,19,0,3,0,3,3,2,0.86,0.0,13,8,3,6,28,0,0.0,0.0,0.172,3.276,0.0,0.517,0.0,0.517,0.517,0.345,2.241,1.379,0.517,1.034,4.828,0.0
Nathan Zeze,fr FRA,DF,Nantes,fr Ligue 1,19.0,18,17,1512,16.8,0,0.0,1,46,1,1,0,3,4,0,0.6,0.0,38,22,23,22,120,1,0.0,0.0,0.06,2.738,0.06,0.06,0.0,0.179,0.238,0.0,2.262,1.31,1.369,1.31,7.143,0.06
Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,eng Premier League,27.0,15,5,527,5.9,1,0.2,3,48,2,13,1,3,5,14,3.76,0.34,6,1,5,8,10,0,0.169,0.034,0.508,8.136,0.339,2.203,0.169,0.508,0.847,2.373,1.017,0.169,0.847,1.356,1.695,0.0
Luck Zogbé,ci CIV,DF,Brest,fr Ligue 1,19.0,13,7,638,7.1,0,0.1,4,19,0,14,0,4,19,19,2.11,0.14,32,18,14,11,22,1,0.0,0.014,0.563,2.676,0.0,1.972,0.0,0.563,2.676,2.676,4.507,2.535,1.972,1.549,3.099,0.141
Nadir Zortea,it ITA,"DF,MF",Cagliari,it Serie A,25.0,35,33,2713,30.1,2,2.4,28,63,1,119,7,38,87,144,1.89,0.1,30,14,19,11,47,2,0.066,0.08,0.93,2.093,0.033,3.953,0.233,1.262,2.89,4.784,0.997,0.465,0.631,0.365,1.561,0.066
Yanis Zouaoui,dz ALG,"DF,FW",Le Havre,fr Ligue 1,30.0,17,9,976,10.8,2,2.9,28,32,1,110,49,13,18,33,3.69,0.28,20,10,8,15,43,0,0.185,0.269,2.593,2.963,0.093,10.185,4.537,1.204,1.667,3.056,1.852,0.926,0.741,1.389,3.981,0.0
Igor Zubeldia,es ESP,DF,Real Sociedad,es La Liga,27.0,28,27,2269,25.2,0,0.4,4,101,3,1,0,6,6,3,0.67,0.04,34,22,31,32,100,2,0.0,0.016,0.159,4.008,0.119,0.04,0.0,0.238,0.238,0.119,1.349,0.873,1.23,1.27,3.968,0.079
